profile_identifier,layer_identifier,latitude,longitude,country_code,top,bottom,date,type,order,source,contact,license,designation,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
70837,48290,1.33,-56.84972222,BRA,0,10,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,3.0,0.0,28.0,4.6,56.0,29.0,15.0,
70837,48291,1.33,-56.84972222,BRA,10,20,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,28.0,1.9,0.0,13.0,5.0,68.0,23.0,9.0,
70837,48292,1.33,-56.84972222,BRA,20,45,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,1.1,0.0,7.2,5.4,78.0,17.0,5.0,
70837,48293,1.33,-56.84972222,BRA,45,65,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,0.7,0.0,5.5,5.8,79.0,17.0,4.0,
70837,48294,1.33,-56.84972222,BRA,65,90,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,0.5,0.0,6.2,5.7,77.0,17.0,6.0,
70838,48295,3.79972222,-77.09972222,COL,0,9,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,69.0,,26.0,22.0,52.0,
70838,48296,3.79972222,-77.09972222,COL,9,55,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,13.0,,62.0,24.0,14.0,
70838,48297,3.79972222,-77.09972222,COL,55,83,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,9.0,,56.0,28.0,16.0,
70839,48298,3.84972222,-77.0,COL,0,28,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,11.0,4.8,32.0,32.0,36.0,
70839,48299,3.84972222,-77.0,COL,28,52,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,1.0,4.8,30.0,36.0,34.0,
70839,48300,3.84972222,-77.0,COL,52,102,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,1.0,4.9,30.0,36.0,34.0,
70839,48301,3.84972222,-77.0,COL,102,150,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,1.0,4.9,28.0,36.0,36.0,
70840,48302,-4.84,-62.72,BRA,0,10,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,6.3,0.1,3.4,4.9,8.0,40.0,52.0,
70840,48303,-4.84,-62.72,BRA,10,30,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,11.7,0.1,4.1,4.4,21.0,53.0,26.0,
70840,48304,-4.84,-62.72,BRA,30,60,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,13.2,0.1,2.8,4.9,23.0,55.0,22.0,
70840,48305,-4.84,-62.72,BRA,60,100,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,10.4,0.1,2.1,5.2,18.0,46.0,36.0,
70888,48544,3.66,-76.9,COL,0,37,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,21.0,4.4,14.0,32.0,54.0,
70888,48545,3.66,-76.9,COL,37,65,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,11.0,4.9,26.0,28.0,46.0,
70888,48546,3.66,-76.9,COL,65,130,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,5.0,5.0,22.0,28.0,50.0,
70888,48547,3.66,-76.9,COL,130,150,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,5.0,5.0,24.0,30.0,46.0,
70937,48754,11.64972222,-72.19972222,COL,0,15,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,4.0,,0.1,20.0,,32.0,24.0,44.0,
70937,48755,11.64972222,-72.19972222,COL,15,60,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,10.0,,,4.0,,24.0,32.0,44.0,
70937,48756,11.64972222,-72.19972222,COL,60,150,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,2.0,,,,,
70939,48760,10.89972222,-72.84972222,COL,0,20,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,19.0,8.1,30.0,55.0,15.0,
70939,48761,10.89972222,-72.84972222,COL,20,36,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,11.0,8.0,38.0,52.0,10.0,
70939,48762,10.89972222,-72.84972222,COL,36,54,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,8.0,8.2,29.0,60.0,11.0,
70939,48763,10.89972222,-72.84972222,COL,54,85,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,3.0,8.5,10.0,70.0,20.0,
70939,48764,10.89972222,-72.84972222,COL,85,100,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,3.0,8.3,20.0,45.0,35.0,
70940,48765,10.94972222,-72.8,COL,0,18,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,4.0,,,16.0,7.1,20.0,40.0,40.0,
70940,48766,10.94972222,-72.8,COL,18,40,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,6.0,7.3,18.0,42.0,40.0,
70940,48767,10.94972222,-72.8,COL,40,90,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,1.0,7.5,5.0,5.0,90.0,
70940,48768,10.94972222,-72.8,COL,90,140,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,,,,,1.0,7.3,22.0,33.0,45.0,
70941,48769,3.09972222,-70.8,COL,0,11,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,59.0,4.9,44.0,22.0,34.0,
70941,48770,3.09972222,-70.8,COL,11,60,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,5.0,4.9,54.0,26.0,20.0,
70941,48771,3.09972222,-70.8,COL,60,120,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,4.0,5.2,56.0,22.0,22.0,
71331,50407,-1.36,-69.94972222,COL,0,10,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,23.0,4.8,26.0,24.0,50.0,
71331,50408,-1.36,-69.94972222,COL,10,21,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,17.0,4.6,24.0,26.0,50.0,
71331,50409,-1.36,-69.94972222,COL,21,47,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,1.0,,0.0,12.0,4.8,30.0,22.0,48.0,
71331,50410,-1.36,-69.94972222,COL,47,110,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,6.0,5.0,42.0,20.0,38.0,
71331,50411,-1.36,-69.94972222,COL,110,140,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,10.0,,0.0,3.0,4.6,44.0,16.0,40.0,
71340,50450,-2.33972222,-72.36,COL,0,20,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,23.0,4.5,38.0,22.0,40.0,
71340,50451,-2.33972222,-72.36,COL,20,40,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,6.0,5.0,52.0,16.0,32.0,
71340,50452,-2.33972222,-72.36,COL,40,90,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,5.3,40.0,16.0,44.0,
71341,50454,-1.34,-73.30972222,COL,0,37,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,16.0,4.2,28.0,18.0,54.0,
71341,50455,-1.34,-73.30972222,COL,37,70,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,5.0,5.3,50.0,12.0,38.0,
71341,50456,-1.34,-73.30972222,COL,70,90,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,5.0,5.0,50.0,12.0,38.0,
71341,50457,-1.34,-73.30972222,COL,90,140,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.0,5.0,5.0,50.0,12.0,38.0,
71342,50459,-1.11,-74.01,COL,3,20,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,9.0,5.5,24.0,50.0,26.0,
71342,50460,-1.11,-74.01,COL,20,60,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,5.4,26.0,46.0,28.0,
71387,50626,3.25972222,-68.06972222,COL,0,3,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,7.0,4.4,8.0,8.0,84.0,
71387,50627,3.25972222,-68.06972222,COL,3,17,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,4.6,6.0,4.0,90.0,
71387,50628,3.25972222,-68.06972222,COL,17,55,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,2.0,5.0,4.0,6.0,90.0,
71387,50629,3.25972222,-68.06972222,COL,55,100,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,1.0,5.1,4.0,2.0,94.0,
71387,50630,3.25972222,-68.06972222,COL,100,115,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,1.0,,0.1,1.0,5.5,2.0,2.0,96.0,
71387,50631,3.25972222,-68.06972222,COL,115,150,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,4.6,4.0,4.0,92.0,
71389,50637,3.84972222,-76.75,COL,0,20,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,30.0,5.0,38.0,30.0,32.0,
71389,50638,3.84972222,-76.75,COL,20,40,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,7.0,4.7,44.0,28.0,28.0,
71389,50639,3.84972222,-76.75,COL,40,80,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,5.0,4.8,54.0,26.0,20.0,
71389,50640,3.84972222,-76.75,COL,80,130,,perfil de suelo,,WoSIS July 2016 Snapshot,niels.batjes@wur.nl,CC-BY-NC-ND,,,0.0,,,0.1,3.0,4.8,44.0,30.0,26.0,
